V(B) I(B)
1.34 0.07
1.69 4.11
1.82 10.88
1.90 18.35
2.03 31.85
2.194 42.50
2.346 44.61
2.59 41.16
2.783 35.49
3.108 32.08
3.3 30.02
3.5 28.37
3.6 27.70
3.73 26.83
3.84 26.16
4.01 25.3
4.17 24.6
4.25 24.29
4.48 23.4
4.77 22.39
5.07 21.5
5.33 20.93
5.57 20.5
5.83 20.26
6.125 20
6.358 19.95
6.637 19.79
6.679 19.74
6.98 19.72
7.07 19.69
7.22 19.7
7.43 19.8
7.76 19.94
7.936 20.1
8.3 20.46
8.522 20.59
8.898 21.52
9.14 21.94
9.4 22.06
9.640 22.07
9.957 22.87
10.166 23.62
10.400 25.99
10.865 29.69
11.035 30.18

